ts,fundingRate,fundingRateLong,fundingRateShort,oraclePriceTwap,markPriceTwap,periodRevenue
1750874402,0.661618916,0.661618916,0.661618916,107305.838587,107300.256274,9061.817309
1750878011,0.718869541,0.718869541,0.718869541,107390.221599,107385.996424,-870.978746
1750881602,0.685216041,0.685216041,0.685216041,107610.743078,107605.666115,11245.521283
1750885207,0.668168750,0.668168750,0.668168750,107700.489859,107694.985812,3307.119001
1750888801,0.566796250,0.566796250,0.566796250,107652.490510,107644.563122,-11324.660974
1750892400,0.187103750,0.187103750,0.187103750,107482.523637,107465.517623,-10414.890419
1750896003,0.260984083,0.260984083,0.260984083,107355.987584,107340.780005,2254.581830
1750899618,0.342560958,0.342560958,0.342560958,107419.878002,107406.615490,487.993506
1750903245,0.225010583,0.225010583,0.225010583,107481.224951,107465.128961,6614.512147
1750906805,0.177270666,0.177270666,0.177270666,107705.325671,107688.039102,7650.783366
1750910432,0.282703000,0.282703000,0.282703000,107867.097009,107852.308462,-600.266262
1750914006,0.470738000,0.470738000,0.470738000,107859.793524,107849.519278,-902.628520
1750917605,0.328077791,0.328077791,0.328077791,107760.915510,107747.237194,-3906.162551
1750921206,0.554826375,0.554826375,0.554826375,107776.055486,107767.816108,2337.162807
1750924814,0.507970500,0.507970500,0.507970500,107905.924881,107896.534989,1902.184011
1750928426,0.570170875,0.570170875,0.570170875,107912.297632,107904.399274,-661.229528
1750932015,0.125941000,0.125941000,0.125941000,107638.472014,107619.966904,-6111.882801
1750935625,0.422082208,0.422082208,0.422082208,107497.124210,107485.754759,674.031232
1750939214,0.434482083,0.434482083,0.434482083,107385.722918,107374.673344,-975.833876
1750942802,0.551151583,0.551151583,0.551151583,107304.642983,107296.409693,-2435.720909
1750946401,0.657585875,0.657585875,0.657585875,107173.954880,107168.302151,-620.221203
1750950007,0.728753958,0.728753958,0.728753958,107328.204851,107324.229306,10255.201542
1750953605,0.701890958,0.701890958,0.701890958,107236.003900,107231.402083,-3609.016032
1750957200,0.813899250,0.813899250,0.813899250,107213.858461,107211.949272,-2881.698484
1750960806,0.846878125,0.846878125,0.846878125,107289.140369,107288.007616,52.286461
1750964427,0.873052625,0.873052625,0.873052625,107346.732885,107346.216802,2667.687183
1750968000,0.901207458,0.901207458,0.901207458,107478.124316,107478.257671,1981.570417
1750971617,0.891659500,0.891659500,0.891659500,107641.751358,107641.622836,3208.170652
1750975225,0.706022916,0.706022916,0.706022916,107356.479227,107351.952482,-5861.850761
1750978805,0.794450083,0.794450083,0.794450083,107194.348703,107191.976636,365.374294
1750982421,0.777976375,0.777976375,0.777976375,107067.233642,107064.491629,-212.935807
1750986002,0.718147625,0.718147625,0.718147625,107039.520890,107035.348529,-4788.198493
1750989603,0.765655458,0.765655458,0.765655458,107042.811361,107039.778530,12617.930241
1750993203,0.830253333,0.830253333,0.830253333,107192.331060,107190.818674,3205.064777
1750996802,0.884061041,0.884061041,0.884061041,107349.985605,107349.733073,3234.161152
1751000406,0.892498208,0.892498208,0.892498208,107451.762408,107451.692013,1173.600483
1751004007,0.835882750,0.835882750,0.835882750,107434.043231,107432.617609,-3390.742092
1751007628,0.779806250,0.779806250,0.779806250,107384.518163,107381.756610,153.470717
